Geneid	Symbol	Aged_GElaS
ENSMUSG00000022999.16	Lmbr1l	0.575002633046343
ENSMUSG00000042613.10	Pbxip1	0.113898804911237
ENSMUSG00000069114.9	Zbtb10	0.969283821312141
ENSMUSG00000004561.15	Mettl17	0.101015461222757
ENSMUSG00000078532.10	Nkain1	0.149675957876921
ENSMUSG00000027742.14	Cog6	0
ENSMUSG00000054717.8	Hmgb2	0.507862651531752
ENSMUSG00000023852.15	Chd1	0.0867057815369292
ENSMUSG00000058297.17	Spock2	1.10558920141528
ENSMUSG00000062797.15	Hikeshi	0.131996752050664
ENSMUSG00000027589.15	Pcmtd2	0.471359704546516
ENSMUSG00000024247.15	Pkdcc	0.967055652746653
ENSMUSG00000019951.11	Uhrf1bp1l	0.11609681896961
ENSMUSG00000019947.11	Arid5b	0.901284257362314
ENSMUSG00000018559.17	Ctdnep1	0.236342506092288
ENSMUSG00000072704.7	Smim10l1	0.0231415324432968
ENSMUSG00000070420.5	Zscan25	0.680464677018681
ENSMUSG00000043424.11	Eif3j2	0
ENSMUSG00000032402.13	Smad3	0.289285728875967
ENSMUSG00000032512.8	Wdr48	0.529886267861847
ENSMUSG00000025571.14	Tnrc6c	0.611490764590814
ENSMUSG00000036585.17	Fgf1	1.57404903289626
ENSMUSG00000029446.15	Psph	0.0502893084528541
ENSMUSG00000038459.11	Abhd17c	0.101037394555567
ENSMUSG00000068114.8	Ccdc134	0.918826901992336
ENSMUSG00000019768.17	Esr1	0.0630749548935854
ENSMUSG00000032193.10	Ldlr	0.584060334007652
ENSMUSG00000090000.3	Ier3ip1	0.370037682180017
ENSMUSG00000020538.16	Srebf1	0.0444270721941252
ENSMUSG00000054978.4	Kbtbd13	0.901524345513485
ENSMUSG00000000056.8	Narf	0.410574236486185
ENSMUSG00000025477.15	Inpp5a	0.010894260306442
ENSMUSG00000021215.16	Net1	0.608013607530474
ENSMUSG00000003477.6	Inmt	0.14236274250451
ENSMUSG00000025162.19	Csnk1d	0
ENSMUSG00000039156.20	Stim2	0.80341624027998
ENSMUSG00000046947.13	Adck2	0.588698733869874
ENSMUSG00000021285.16	Ppp1r13b	0.16327165757508
ENSMUSG00000059975.16	Zfp74	0.0789891676767751
ENSMUSG00000020309.7	Chac2	0.578558021837399
ENSMUSG00000030272.16	Camk1	0.454419331383996
ENSMUSG00000021500.18	Ddx46	0.295296603551674
ENSMUSG00000045917.18	Tmem268	0.0954511672379802
ENSMUSG00000033365.15	Ipo13	0.0773663086011877
ENSMUSG00000024007.16	Ppil1	0.0552770448341628
ENSMUSG00000058594.16	Fbh1	0.0530430913536275
ENSMUSG00000040734.15	Ppp1r13l	0.217531811306534
ENSMUSG00000003123.16	Lipe	0.946393958584593
ENSMUSG00000003868.15	Ruvbl2	0.565978081235564
ENSMUSG00000037020.17	Wdr62	0.218491618583701
ENSMUSG00000021143.11	Pacs2	0.0344999860439523
ENSMUSG00000039768.17	Dnajc11	0.138266922099131
ENSMUSG00000022965.9	Ifngr2	0.181999105894997
ENSMUSG00000018547.9	Pip4k2b	0.158194678657556
ENSMUSG00000024982.11	Zdhhc6	0.121680000578156
ENSMUSG00000039367.12	Sec24c	0.0870664618618229
ENSMUSG00000034930.17	Rtkn	0
ENSMUSG00000049764.9	Zfp280b	0.71286765447012
ENSMUSG00000021458.18	Aopep	0.198729312822151
ENSMUSG00000015837.16	Sqstm1	0
ENSMUSG00000000346.10	Dazap2	0.0981262957952783
ENSMUSG00000005370.5	Msh6	0.196384317537767
ENSMUSG00000042670.6	Immp1l	0.337634225866011
ENSMUSG00000038520.16	Tbc1d17	0.343242682017356
ENSMUSG00000029028.15	Lrrc47	0.119586912213685
ENSMUSG00000032177.18	Pde4a	0.0564924940088253
ENSMUSG00000029922.16	Mkrn1	0.429107950830812
ENSMUSG00000022151.17	Ttc33	0.0827549030747391
ENSMUSG00000050912.16	Tmem123	0.421385539189195
ENSMUSG00000001855.16	Nup214	0.406566936008588
ENSMUSG00000025736.16	Jmjd8	0.0780959591857846
ENSMUSG00000036580.16	Spg20	0.018994979193794
ENSMUSG00000032845.17	Alpk2	1.05719979150054
ENSMUSG00000033032.16	Afap1l1	0.264852230167048
ENSMUSG00000078937.9	Cpt1b	0.816968051777941
ENSMUSG00000026792.17	Lrsam1	0.112622691245532
ENSMUSG00000023206.17	Il15ra	0.579046285713557
ENSMUSG00000027381.17	Bcl2l11	1.17710870811013
ENSMUSG00000022111.10	Uchl3	0.0723909985224381
ENSMUSG00000048581.13	E130311K13Rik	0
ENSMUSG00000067722.5	BC003965	0.0394235065532571
ENSMUSG00000040283.15	Btnl9	0.966564532359406
ENSMUSG00000022041.11	Chrna2	0.48714912026513
ENSMUSG00000031485.16	Plpbp	0.082989176454411
ENSMUSG00000035614.12	Togaram1	0.134418472800237
ENSMUSG00000074781.6	Ube2n	0.0289965211437645
ENSMUSG00000024891.7	Slc29a2	0.781029203480711
ENSMUSG00000034858.17	Fam214a	1.42132520604221
ENSMUSG00000022503.11	Nubp1	0.141310963041219
ENSMUSG00000068205.15	Macrod2	0.42161436115909
ENSMUSG00000037364.13	Srrt	0.139673186310385
ENSMUSG00000021281.16	Tnfaip2	0.331304323037133
ENSMUSG00000034243.18	Golgb1	0.177373135057286
ENSMUSG00000044258.11	Ctla2a	0.751931108827542
