Geneid	Symbol	Chow_GElaS
ENSMUSG00000055322.17	Tns1	0.888603962360478
ENSMUSG00000059022.16	Kcp	0.182518504873616
ENSMUSG00000031955.11	Bcar1	0.210747986363866
ENSMUSG00000053964.18	Lgals4	2.97711814960523
ENSMUSG00000020029.7	Nudt4	0.906143060733797
ENSMUSG00000024085.14	Man2a1	0.799083270882461
ENSMUSG00000035891.17	Cerk	0.441336427981562
ENSMUSG00000047394.10	Odf3b	0.702313421644772
ENSMUSG00000000303.13	Cdh1	1.96972494557824
ENSMUSG00000040661.7	Rad54l2	0.284290358190054
ENSMUSG00000001542.8	Ell2	1.99790579094242
ENSMUSG00000070576.5	Mn1	0.219613184593318
ENSMUSG00000043445.8	Pgp	1.17614321093496
ENSMUSG00000057738.15	Sptan1	0
ENSMUSG00000022911.12	Arl13b	1.88838798250668
ENSMUSG00000030530.16	Furin	0.713516872209904
ENSMUSG00000019883.12	Echdc1	0.207584872478928
ENSMUSG00000038217.14	Tlcd2	0.149461489954921
ENSMUSG00000030214.8	Plbd1	0.618275781519729
ENSMUSG00000030539.14	Sema4b	1.20977374063291
ENSMUSG00000006782.17	Cnp	0
ENSMUSG00000070348.6	Ccnd1	0.618825858915488
ENSMUSG00000033319.6	Fem1c	0.15868747400005
ENSMUSG00000022637.12	Cblb	1.41198900250336
ENSMUSG00000016024.10	Lbp	1.15447098753857
ENSMUSG00000036019.9	Tmtc2	1.61307985490943
ENSMUSG00000026880.12	Stom	0.144279181113032
ENSMUSG00000023912.11	Slc25a27	0.924813879637614
ENSMUSG00000042246.6	Tmc7	1.28225288023043
ENSMUSG00000043671.15	Dpy19l3	0.617702070760376
ENSMUSG00000029201.15	Ugdh	1.5155548118485
ENSMUSG00000000673.10	Haao	0
ENSMUSG00000015656.18	Hspa8	0.034078527019523
ENSMUSG00000070661.8	Rnf186	0.38403639313323
ENSMUSG00000043681.6	Fam25c	0
ENSMUSG00000025894.12	Aasdhppt	0.46844292605207
ENSMUSG00000024833.16	Pola2	0.0588871633471562
ENSMUSG00000057691.9	Zfp746	0.522066345952271
ENSMUSG00000041773.9	Enc1	2.26236408456019
ENSMUSG00000075256.10	Cerkl	0.490749049233181
ENSMUSG00000046027.18	Stard5	0.799679481424825
ENSMUSG00000035372.3	1810055G02Rik	3.43969587000956
ENSMUSG00000037797.15	Adh4	1.91267810885508
ENSMUSG00000023994.14	Nfya	0
ENSMUSG00000028832.12	Stmn1	0
ENSMUSG00000028776.15	Tinagl1	0.220177351104867
ENSMUSG00000031596.16	Slc7a2	3.06470471285335
ENSMUSG00000024065.9	Ehd3	0.922001778797624
ENSMUSG00000030313.16	Dennd5b	0.0553767932317667
ENSMUSG00000019987.10	Arg1	0.787504145155036
ENSMUSG00000026749.12	Nek6	1.60620315817426
ENSMUSG00000015312.10	Gadd45b	2.05934161281961
ENSMUSG00000046718.9	Bst2	0.14895276724939
ENSMUSG00000026116.12	Tmem131	1.67453809207783
ENSMUSG00000038628.9	Polr3k	1.44312498293584
ENSMUSG00000038393.15	Txnip	2.6048286453768
ENSMUSG00000103421.2	Golt1a	0.853171784694888
ENSMUSG00000045284.10	Dcaf12l1	0.175696733334022
ENSMUSG00000001436.16	Slc19a1	1.25365808598519
ENSMUSG00000033540.19	Idua	0.945790877599278
ENSMUSG00000026305.16	Lrrfip1	0.0968035661470761
ENSMUSG00000025509.16	Pnpla2	2.42801513261906
ENSMUSG00000028195.5	Ccn1	0.257348422825645
ENSMUSG00000027358.7	Bmp2	0.634574337656305
ENSMUSG00000021943.8	Gdf10	0
ENSMUSG00000019082.19	Slc25a22	1.87511018846497
ENSMUSG00000023913.18	Pla2g7	1.58444780203138
ENSMUSG00000046997.6	Spsb4	0.645183768490811
ENSMUSG00000031458.9	Coprs	0.0557760886433296
ENSMUSG00000029290.13	Zfp326	0.268140686035154
ENSMUSG00000028811.13	Yars	1.62274157617026
ENSMUSG00000027660.17	Skil	0
ENSMUSG00000020387.16	Jade2	0.545593406996205
ENSMUSG00000028484.17	Psip1	0.0469086146940961
ENSMUSG00000118669.2	AC084822.1	1.27122107438756
ENSMUSG00000033207.8	Mamdc2	1.03582971845178
ENSMUSG00000023942.16	Slc29a1	1.62285443092838
ENSMUSG00000024395.10	Lims2	1.28345023701462
ENSMUSG00000026003.6	Acadl	0.856069468065217
ENSMUSG00000042834.16	Nrep	2.79248189250081
ENSMUSG00000038323.4	1700066M21Rik	0.988807118609584
ENSMUSG00000039395.9	Mreg	1.04403503670329
ENSMUSG00000006736.10	Tspan31	0.297265333826848
ENSMUSG00000074207.11	Adh1	0.472439108329514
ENSMUSG00000047123.9	Ticam1	0.542894472639247
ENSMUSG00000025003.7	Cyp2c39	0.184795935658447
ENSMUSG00000032939.15	Nup93	1.21103465649136
ENSMUSG00000022809.5	Nr1i2	1.50278977159263
ENSMUSG00000027947.12	Il6ra	3.42067768828464
ENSMUSG00000024292.16	Cyp4f14	2.54252691947042
ENSMUSG00000036040.15	Adamtsl2	0.773779252128817
ENSMUSG00000005373.14	Mlxipl	1.27428895138846
ENSMUSG00000028607.17	Cpt2	0.315176702044395
ENSMUSG00000039286.13	Fndc3b	0
ENSMUSG00000042248.5	Cyp2c37	1.18740318637029
ENSMUSG00000044468.15	Tent5c	2.08663860326716
ENSMUSG00000025854.16	Fam20c	1.13202650575955
ENSMUSG00000038550.11	Ciart	4.03837187230918
ENSMUSG00000026730.13	Pter	1.35050799732974
ENSMUSG00000058997.9	Vwa8	0.543104863361447
ENSMUSG00000024026.14	Glo1	0
ENSMUSG00000048782.16	Insc	2.54289720895306
ENSMUSG00000020593.17	Lpin1	6.0249065186494
ENSMUSG00000035041.9	Creb3l3	0.997852546080804
ENSMUSG00000035247.17	Hectd1	0
ENSMUSG00000026385.17	Dbi	0
ENSMUSG00000050234.8	Gja4	1.28505437367069
ENSMUSG00000026355.12	Mcm6	0
ENSMUSG00000030643.15	Rab30	2.54880237871317
ENSMUSG00000060317.10	Acnat2	0.00419150703870208
ENSMUSG00000058454.16	Dhcr7	0.79811993589493
ENSMUSG00000020917.18	Acly	0.820054375628131
ENSMUSG00000030956.16	Fam53b	1.21863835028212
ENSMUSG00000001604.15	Tcea3	1.70580947247629
ENSMUSG00000027610.18	Gss	0.4754329818823
ENSMUSG00000019917.11	Septin10	0
ENSMUSG00000022853.8	Ehhadh	0
ENSMUSG00000054474.16	Thnsl2	0.034468501018184
ENSMUSG00000027952.17	Pmvk	0.485661675999287
ENSMUSG00000030029.15	Lrig1	1.17533347714008
ENSMUSG00000068762.12	Gstm6	0.0235622975770143
ENSMUSG00000025479.10	Cyp2e1	2.06292732230282
ENSMUSG00000024742.16	Fen1	1.18030244799102
ENSMUSG00000026005.16	Rpe	0.613031818857608
ENSMUSG00000028443.7	Nudt2	0.16288414015649
ENSMUSG00000038859.8	Baiap2l1	1.89920428748325
ENSMUSG00000029366.11	Dck	0.329259110093644
ENSMUSG00000002265.18	Peg3	0.248334531552973
ENSMUSG00000078974.11	Sec61g	0.69824924794817
ENSMUSG00000031570.18	Plpp5	0
ENSMUSG00000046402.11	Rbp1	0
ENSMUSG00000042286.14	Stab1	0.499216230584524
ENSMUSG00000033917.16	Gde1	1.16466226320188
ENSMUSG00000070368.10	Prok1	3.16949061686634
ENSMUSG00000027305.10	Ndufaf1	0.158026945767929
ENSMUSG00000062352.16	Itgb1bp1	0.00259523090618807
ENSMUSG00000026942.14	Traf2	0.394636122795445
ENSMUSG00000029470.16	P2rx4	0
ENSMUSG00000037408.11	Cnnm4	0.271944060809756
ENSMUSG00000034807.10	Colgalt1	0.098950937274589
ENSMUSG00000020672.15	Sntg2	0
ENSMUSG00000028214.14	Gem	0.399550937069712
ENSMUSG00000051671.8	Coa6	0.478495600795231
ENSMUSG00000024236.19	Svil	1.08960565335097
ENSMUSG00000048756.12	Foxo3	1.01542109278591
ENSMUSG00000050323.15	Ndufaf6	0
ENSMUSG00000034177.16	Rnf43	1.69006487714404
ENSMUSG00000039509.9	Nup133	0.144565988345052
ENSMUSG00000023031.9	Cela1	0.306694736949405
ENSMUSG00000053460.9	Ggcx	1.10364899948438
ENSMUSG00000005580.12	Adcy9	0.984401845711249
ENSMUSG00000033781.8	Asb13	0.903388201893792
ENSMUSG00000049755.15	Zfp672	0
ENSMUSG00000074794.11	Arrdc3	2.08293801448614
ENSMUSG00000032121.10	Tmem218	0.116498395110438
ENSMUSG00000070644.14	Etnk2	1.93225891143404
ENSMUSG00000024975.14	Pdcd4	0.228934692318565
ENSMUSG00000034430.17	Zxdc	0.723804133092108
ENSMUSG00000034361.11	Cpne2	0
ENSMUSG00000030168.14	Adipor2	0.646426172376349
ENSMUSG00000002847.8	Pla1a	0
ENSMUSG00000110344.2	Gm45716	1.04393091889268
ENSMUSG00000032840.8	Spring1	0.470157161107397
ENSMUSG00000034245.11	Hdac11	0.288109480549625
ENSMUSG00000037035.6	Inhbb	1.05794046452789
ENSMUSG00000035759.5	Bbs10	0
ENSMUSG00000022555.13	Dgat1	0.290177759540394
ENSMUSG00000090958.3	Lrrc32	0.0909794642587109
ENSMUSG00000047150.9	1700001C19Rik	0
ENSMUSG00000018909.16	Arrb1	0.140251708998376
ENSMUSG00000010607.9	Pigyl	0.567091175094539
ENSMUSG00000054757.15	Akr1c20	1.7615139296716
ENSMUSG00000028073.16	Pear1	2.01408677686848
ENSMUSG00000103711.2	Tstd1	0.00960131472506564
ENSMUSG00000052534.16	Pbx1	0.644868496660555
ENSMUSG00000027962.15	Vcam1	2.92456479927478
ENSMUSG00000029440.16	Psmd9	1.25058244184025
ENSMUSG00000027435.9	Cd93	0.273714630121436
ENSMUSG00000024378.10	Stard4	0.974375764164567
ENSMUSG00000044308.18	Ubr3	0
ENSMUSG00000014426.10	Map3k4	0.697223385249353
ENSMUSG00000052676.17	Zmat1	0.699222026356623
ENSMUSG00000005534.11	Insr	0.51690797716246
ENSMUSG00000041025.16	Iffo2	1.47960996626841
ENSMUSG00000029458.15	Brap	1.26742828102203
ENSMUSG00000038240.14	Pdss2	0.170957104623126
ENSMUSG00000041237.13	Pklr	1.03332564570003
ENSMUSG00000015806.13	Qdpr	0.175556736115352
ENSMUSG00000036002.13	Fam214b	0.959629957009924
ENSMUSG00000034190.10	Chmp7	0.436968924865697
ENSMUSG00000050410.16	Tcf19	0
ENSMUSG00000028864.8	Hgf	0.107589341464751
ENSMUSG00000028961.16	Pgd	0.411290124994659
ENSMUSG00000022010.20	Tsc22d1	2.223428362298
ENSMUSG00000022477.14	Aco2	0.134557308074294
