Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000035768	PDE3A	1.87720261301002	2.45290401435324	2.53645302802881
ENSMFAG00000044099	SPTAN1	5.49801603118828	5.7991785313491	5.67722743146979
ENSMFAG00000039921	YBX2	4.241423475423	3.30639280274826	3.29446632660895
ENSMFAG00000033198	PRDX5	7.24096473565627	6.93569443161977	6.92608927726909
ENSMFAG00000030204	ADAMTS6	-0.80290424241696	-0.092336147260199	-0.225939945485006
ENSMFAG00000038788	PSMD10	3.81999476482684	3.60025026877275	3.51486030718612
ENSMFAG00000053923	TMEM140	4.78353774454281	5.72431314459313	5.34040484282759
ENSMFAG00000038168	MRPL24	5.82081579901682	5.49363211040767	5.38986902326014
ENSMFAG00000039149	RCOR2	0.610307257074728	-0.36368651733016	0.763360577445055
ENSMFAG00000037665	ATXN7	1.91971571066972	2.35897593811084	2.09227660117602
ENSMFAG00000031516	PTCD2	3.79125601162673	3.31847660051746	3.17913229716239
ENSMFAG00000033954	FCHSD1	3.00600246789611	3.47185355265703	3.54991070805754
ENSMFAG00000002505	DCTPP1	4.87240530184854	4.52955491268777	4.56260653494835
ENSMFAG00000000150	PCBD1	6.84160220797241	6.31382577072853	6.22740891106464
ENSMFAG00000043171	PRADC1	3.40666717426972	3.07694302283388	3.07464459276754
ENSMFAG00000031060	BTBD6	5.62862398442527	5.30477269590003	5.32993391065948
ENSMFAG00000031817	TLE4	1.85200437593552	2.22454194483316	1.98476630061019
ENSMFAG00000044993	ASAP1	3.07150733581123	3.41074051175535	3.35154333341222
ENSMFAG00000011252	MRFAP1	7.8326222468052	7.61850290536467	7.69680701869658
ENSMFAG00000031374	PREX2	1.92968268098716	2.5358021929422	2.40351143569734
ENSMFAG00000037788	ERGIC1	5.23356932732538	4.95127898243746	4.82130234974695
ENSMFAG00000032046	CDO1	5.15682968740158	4.05220847686918	4.12822192095883
ENSMFAG00000037200	SEC13	5.60518179589778	5.33811355628174	5.36025245413309
ENSMFAG00000042526	""	2.49875751286481	2.13294256439424	2.3166873393352
ENSMFAG00000044216	UBR5	3.62807438220711	3.86674461139262	3.78564922313979
ENSMFAG00000043313	TNFRSF1B	5.12155146367671	5.48444622107548	5.35414520433342
ENSMFAG00000000478	PCYT2	3.39749149655538	3.07573697992672	3.19208117664821
ENSMFAG00000047434	NUTF2	5.17480982699842	4.90356910566041	4.9040204502345
ENSMFAG00000032062	SCARF1	3.71320700654447	4.1284289571377	4.13747717821926
ENSMFAG00000042650	ARRB1	4.50344848856588	4.22755092759998	4.22336557970515
ENSMFAG00000000961	ELF4	2.87110506085179	3.24374475554963	3.16488593042169
ENSMFAG00000003856	SUPT4H1	4.62854159623672	4.46629459853568	4.46110809349573
ENSMFAG00000015384	AGO2	1.84944995823045	2.40821211549629	2.10521399127589
ENSMFAG00000031552	METTL26	4.51344613537667	4.21124087489383	4.35940385229858
ENSMFAG00000045196	COQ9	4.12763185328294	3.78968339061468	3.82738012558893
ENSMFAG00000033000	""	7.11990650032182	6.70284570680189	6.50275392175181
ENSMFAG00000053533	COX5B	5.8055566924626	5.47063029166672	5.57326898070238
ENSMFAG00000049216	SLC25A51	3.56520746246224	3.30018984098533	3.38122500000924
ENSMFAG00000045119	NR2C2	2.48199461312849	2.77508695526117	2.72435228636981
ENSMFAG00000003167	PLSCR4	4.40731672761464	4.89669488087663	4.84034952209351
ENSMFAG00000031131	STK17B	2.99658711908717	3.44285645763451	3.24928339593164
ENSMFAG00000036985	PDXP	8.94292807323536	8.53435310206721	8.67984557752308
ENSMFAG00000000725	ETV6	2.15955611834384	2.58710765598375	2.39464006195127
ENSMFAG00000044757	BRF2	3.24552943842468	2.8854556242301	3.08775684737259
ENSMFAG00000001234	ZNHIT3	3.79012561782174	3.53638781390609	3.60343166548382
ENSMFAG00000044733	ZNF511	4.78676785596484	4.48922087326024	4.61601734230527
ENSMFAG00000039894	SAR1A	5.99668817410085	5.74311695240082	5.75460812693999
ENSMFAG00000049634	NDUFA2	4.95525573831173	4.61273876866939	4.76312555362958
ENSMFAG00000052639	""	1.48423065825855	1.93063707356395	1.89743273617921
ENSMFAG00000030258	RBM33	2.71061342588612	3.08681207423931	3.13368432463296
ENSMFAG00000042509	PLPP7	3.17718035591332	2.72938611396967	2.93429608498226
ENSMFAG00000046245	""	2.67495692303425	2.28261171194431	2.33932916747022
ENSMFAG00000038842	UTP6	2.68661249344475	2.44098233930646	2.44779372397864
ENSMFAG00000045740	NUDT5	3.69996762100955	3.41208961290799	3.47152243120616
ENSMFAG00000003034	AKAP11	2.85215358602116	3.33674773128225	3.06897259214141
ENSMFAG00000044052	CWC15	5.99689211625803	5.75188504384293	5.81837290321143
ENSMFAG00000041756	KIAA2026	2.09342331833999	2.40541828636713	2.23294466453448
ENSMFAG00000062761	MCTS1	2.73250893195042	2.45856082470292	2.43540083810206
ENSMFAG00000026656	IDI1	4.65439419248793	3.93919943634093	4.29655644893115
